address,comments_num,five,four,name,one,price,three,two
西直门外大街1号凯德MALL6楼,15549,9745,4259,将太无二(凯德MALL店),209,149,1139,197
中关村大街27号中关村大厦2层(地铁海淀黄庄站北),13331,4191,4271,眉州东坡(中关村店),215,75,1432,201
朝阳北路101号朝阳大悦城7层,11983,9098,2043,西贝莜面村(朝阳大悦城店),143,90,569,130
崇文门外大街18号国瑞城购物中心3层,10531,5702,3312,南京大牌档(崇文门国瑞店),210,63,1083,224
东三环南路48号(地铁双井站C口南),9690,4695,3061,双流老妈兔头(双井店),289,97,962,187
恩济庄18号院(近定慧北里),8899,7458,874,郁陵岛炭火烤肉(恩济庄店),46,80,210,28
湖景东路9号新奥购物中心B1层,8592,3957,2961,边境东南亚小吃(新奥店),178,77,1219,277
成府路28号五道口购物中心6楼,8223,5766,1684,局气(五道口购物中心店),118,90,545,110
"金融街金城坊街7-1号(光大银行南侧,金融购物中心北面，锦什坊街西侧)",7904,6597,814,汤城小厨(金融街店),106,96,309,58
酒仙桥路18号颐堤港购物中心-L173商(星巴克对面),7537,5251,1729,TIAGO HOME KITCHEN(颐堤港店),83,187,402,72
三丰北里2号悠唐购物中心5层,7294,3551,2243,绿茶(悠唐购物中心店),343,67,892,265
建国路91号金地广场C座3层,7151,5196,1334,局气(金地广场店),101,94,432,88
西单北大街133号君太百货B1楼(近长安街),6950,4088,1722,鼎泰丰(君太百货店),142,132,816,181
东直门外大街42号宇飞大厦2层(东方银座往东200米),6730,4251,1662,串亭(东直门店),157,103,510,150
前门大街38号(大栅栏东口),6444,1524,1883,都一处烧麦馆(前门店),522,78,1512,426
工体东门正对面中国红街(美林大厦东侧底商),6257,3270,1821,妈妈的味道(三里屯店),184,65,792,190
东交民巷2号新侨饭店二、三楼(同仁医院、北京医院),6084,3409,1352,唐宫海鲜舫(新侨店),157,158,459,111
朝阳北路101号朝阳大悦城6层,5950,2969,1757,外婆家(朝阳大悦城店),353,64,671,200
朝阳公园路6号蓝色港湾国际商区1F层DS-10室,5831,2816,1549,饭前饭后(蓝色港湾店),269,99,926,270
东四环中路58号远洋未来汇F座1层,5713,3796,1380,兔爷(远洋未来店),74,91,395,68
颐和园路1号北大资源燕园宾馆北配楼(北京大学小西门外),5576,2431,1655,何贤记(中关村店),101,74,705,144
西直门外大街1号凯德MALL6楼(近北京北站),5487,2838,1617,望湘园(西直门店),144,79,736,152
安定门内大街分司厅胡同5号(方家胡同西口对面),5402,2143,1886,张妈妈特色川味馆(安定门店),327,49,802,236
三丰北里2号悠唐购物中心B1层B09A号,5290,2338,1580,草本工坊(悠唐店),256,84,880,236
新源西里东街甲10号新源西里社区,5168,2179,1174,暹罗泰(新源西里店),60,202,294,56
和平里中街17号天元和平商业大厦1楼(近和平里西街),5073,2539,1607,丝路印象新疆餐厅(和平里店),127,71,654,146
右安门内大街17号(牛街南口公交站、工商银行、回民医院),4986,3342,1227,聚宝源(牛街南口店),115,107,263,39
海淀区车道沟10号(西三环紫竹桥往西1000米),4929,3390,679,汉拿山(紫竹桥),87,75,281,90
三丰北里3号悠唐皇冠假日酒店6层,4808,2929,1275,悠唐皇冠假日酒店C6咖啡厅,75,176,433,96
廊房二条82号(近前门大栅栏),4654,706,800,陈记卤煮小肠(廊房二条店),50,23,339,58
中关村南大街11号(百花苑商务大厦B座，光大国信大厦旁),4675,2760,1314,站点比萨(魏公村店),127,85,395,79
address,comments_num,five,four,name,one,price,three,two
东交民巷2号新侨饭店二、三楼(同仁医院、北京医院),6084,3409,1352,唐宫海鲜舫(新侨店),157,158,459,111
朝阳北路101号朝阳大悦城6层,5950,2969,1757,外婆家(朝阳大悦城店),353,64,671,200
朝阳公园路6号蓝色港湾国际商区1F层DS-10室,5831,2816,1549,饭前饭后(蓝色港湾店),269,99,926,270
东四环中路58号远洋未来汇F座1层,5713,3796,1380,兔爷(远洋未来店),74,91,395,68
颐和园路1号北大资源燕园宾馆北配楼(北京大学小西门外),5576,2431,1655,何贤记(中关村店),101,74,705,144
西直门外大街1号凯德MALL6楼(近北京北站),5487,2838,1617,望湘园(西直门店),144,79,736,152
安定门内大街分司厅胡同5号(方家胡同西口对面),5402,2143,1886,张妈妈特色川味馆(安定门店),327,49,802,236
三丰北里2号悠唐购物中心B1层B09A号,5290,2338,1580,草本工坊(悠唐店),256,84,880,236
新源西里东街甲10号新源西里社区,5168,2179,1174,暹罗泰(新源西里店),60,202,294,56
和平里中街17号天元和平商业大厦1楼(近和平里西街),5073,2539,1607,丝路印象新疆餐厅(和平里店),127,71,654,146
右安门内大街17号(牛街南口公交站、工商银行、回民医院),4986,3342,1227,聚宝源(牛街南口店),115,107,263,39
三丰北里3号悠唐皇冠假日酒店6层,4808,2929,1275,悠唐皇冠假日酒店C6咖啡厅,75,176,433,96
阜通西大街望京西园四区416号楼底商(交通银行旁),4736,2737,1362,芝湖参鸡汤,51,70,499,87
廊房二条82号(近前门大栅栏),4654,706,800,陈记卤煮小肠(廊房二条店),50,23,339,58
东打磨厂街7号新世界女子百货3楼(祈年殿大街口),4579,2078,1619,黑松白鹿(新世界女子百货店),164,223,587,131
团结湖路48号(团结湖公园东门对面南侧),4522,2340,1216,紫光园(团结湖店),98,64,524,121
车公庄西路18号(中国船舶对面),4524,2177,1269,大鸭梨烤鸭店(花园村店),215,76,594,161
花园东路11号泰兴大厦2楼九妙坊酒楼,4525,2395,1385,九妙坊·鱼头泡饼(牡丹园店),141,137,477,127
欣宁街15号荟聚购物中心H区3层,4529,2579,1115,巴依老爷新疆美食(西红门宜家店),179,75,504,152
玉渊潭南路凯迪拉克中心北门对面瑞丰园美食新天地二楼(西临蓝色港湾购物中心),4544,3431,718,和合四季椰子鸡火锅(五棵松店),81,116,248,66
前门廊坊二条8号(近前门商业街),4531,2742,1276,四季民福炸酱面馆(前门廊坊二条店),72,58,380,60
王府井大街i88百货八层(近王府井教堂),4549,3031,1183,海底捞火锅(王府井in88店),68,114,228,39
欣宁街15号荟聚购物中心G区3层3号,4538,3169,827,苗乡楼贵州味道(荟聚西红门店),114,110,328,100
北土城东路元大都遗址公园6号(地铁惠新西街南口站C口东侧),4555,2698,1313,大同江朝鲜料理,69,180,403,72
中关村东路118号北三环联想桥金五星服装市场东北角(苏宁电器东侧),4560,2224,1612,巴依老爷新疆美食(中关村店),127,82,474,86
朝阳北路225号京龙大厦2楼(近呼家楼地铁站),4562,2004,1181,松子日本料理(朝阳北路店),53,165,346,46
常营中路民族家园综合楼13号,4570,2832,1110,紫光园(常营店),108,69,386,88
前门东大街甲2号(祈年大街北口),4566,1708,1366,功德林素菜饭庄(前门东大街店),98,103,702,112
东四环中路56号未来汇购物中心E座1层-AF1-01(东四环中路慈云寺桥东北角，远洋国际商务中心北面),4575,3662,673,汤城小厨(慈云寺桥店),52,93,153,35
东三环东方东路19号DRC外交办公大楼B1层(官舍南区，近燕莎桥),4576,2057,1461,港真茶餐厅(亮马桥店),220,98,652,186
西直门外大街乙143号(近家乐福),4583,1118,1507,豪尚豪牛排馆(白石桥店),113,61,941,139
复兴路51号凯德晶品购物中心LG层,4591,3247,816,禾绿回转寿司(凯德晶品购物中心店),78,98,361,89
望京街9号望京新城B区望京国际商业中心E座4层,4599,2123,1116,海底捞火锅(望京国际商业中心店),35,109,198,29
东直门内大街5—6号(簋街东直门桥向西120米),4611,3250,908,北平三兄弟涮肉(簋街店),69,116,242,65
"中关村大街40号当代商城7层(人民大学对面,地铁4号线人民大学站A2出口向北200米)",4612,3193,944,西贝莜面村(当代店),83,87,313,79
复兴路51号凯德晶品购物中心3层(近时时乐、太兴、南京大牌档),4615,2805,1183,南锣肥猫烤鱼(凯德晶品店),107,112,423,97
鼓楼东大街238号,4615,2757,1288,熊也牛店(鼓楼店),69,157,397,104
红庙延静西里2号东华商大厦二层,4614,2234,875,海底捞火锅(红庙店),64,115,187,23
车公庄大街9号院五栋大楼C座1楼(近官批),4613,2537,1336,丝路印象新疆餐厅(车公庄店),127,77,479,134
白家庄路甲2号,4622,2489,1012,海底捞火锅(白家庄店),65,116,216,36
北洼路30号天顺仁和写字楼A座二层,4626,3429,751,京味斋烤鸭店(北洼路店),107,89,266,73
中关村大街15-9号一层R107,4625,1220,1770,鹿港小镇(中关村店),108,92,835,136
朝阳北路长楹天街购物中心西区4层,4630,2408,1195,绿茶(长楹天街购物中心店),325,69,541,161
王府井大街138号北京apmB区5层501-503,4646,2256,1475,青柠泰餐厅(北京apm店),141,110,600,174
神路街39号日坛上街3层92-93商铺(日坛北门),4652,2799,1317,派悦坊(日坛店),93,130,364,79
新华西街58号万达广场1号楼4016店铺,4654,3548,733,西贝莜面村(通州万达店),84,91,236,53
护国寺街110号(近新街口南大街),4657,2945,1145,管氏翅吧(护国寺店),57,68,390,66
五道口成府路29号国际食尚苑1期3层-4，华联购物广场对面(五道口电影院向西300米日昌餐馆三层),4673,3852,610,椒鸣椒麻小馆(五道口店),31,65,149,31
中关村南大街11号(百花苑商务大厦B座，光大国信大厦旁),4675,2760,1314,站点比萨(魏公村店),127,85,395,79
工人体育场北门,4679,2660,1295,烧虾师(工体店),170,183,429,125
马家堡西路15号时代风帆大厦北侧商用楼3层(地铁四号或十号线角门西站 A口出即到),4679,3172,957,时代风帆海鲜自助餐厅(角门西店),129,206,327,94
太仆寺街23号(府右街宾馆西侧),4684,2200,1451,8号苑秘制火锅(西单店),75,73,638,108
光华路9号世贸天阶北街B1层,4703,2063,1530,草本工坊(世贸天阶店),198,92,745,166
成府路29号五道口国际美食苑2层,4706,1734,1357,明洞邦韩国料理(总店),242,79,775,190
晋元桥东南角(靠近锦绣大地商务在线),4725,3620,811,九十九顶毡房(阜石路店),81,204,174,39
七圣中街12号院爱琴海购物公园4层(近地铁13号线光熙门站),4727,2873,1204,青年餐厅(爱琴海购物公园店),93,70,456,101
北四环东路73号远洋未来广场6层,4728,3467,895,辣尚瘾(远洋未来广场店),66,81,239,61
复兴路乙11号梅地亚中心1楼(军事博物馆站地铁1号线A口和9号线E口出),4718,3002,1229,唇度 Le château厚烤牛排酒堡,45,179,362,80
前门大街143号2层,4737,2074,1174,东来顺(前门大街店),386,143,812,288
天坛路55-1号(红桥路口),4746,2938,1262,大碗居(红桥店),84,86,387,75
中关村大街19号新中关购物中心4楼,4757,2379,1392,火炉火分米套餐&芝士排骨(新中关店),213,78,613,160
西坝河光熙门北里15号重庆饭店1楼(近老国展),4774,1097,974,黑松白鹿(西坝河店),78,173,422,73
成府路28号五道口购物中心6楼(五道口地铁旁100米),4775,2377,1452,两千斤川料·酒馆(五道口购物中心店),180,95,619,147
复兴路五棵松地铁西北口西行500米,4778,921,1252,林静小吃,332,36,901,273
东四十条22号南新仓文化街内13号,4785,2806,965,饭前饭后(东四店),93,96,471,95
西单北大街110号老佛爷百货5楼,4794,3495,837,热辣壹号(西单老佛爷店),81,127,287,94
朝阳北路101号朝阳大悦城7层,4799,3071,1016,望湘园(朝北大悦城店),147,82,450,115
