address,comments_num,five,four,name,one,price,three,two
徐家汇路618号日月光中心广场瑞金区5层01号,24798,17635,5218,哥老官重庆美蛙鱼头(日月光店),315,135,1387,243
衡山路932号太平洋百货8楼(徐家汇),21928,12389,6697,桂满陇-桃花山庄(徐家汇店),474,88,1968,400
万航渡路889号悦达889广场3层(近长寿路),18602,13164,4263,漢舍中国菜馆(悦达889广场店),128,166,897,150
零陵路899号飞洲国际广场5楼(近漕溪北路),16838,4094,5021,辛香汇(飞洲国际店),406,68,1797,306
陆家嘴西路168号正大广场东区5层(近东方明珠),15445,9680,3453,雕爷牛腩(正大广场店),399,167,1507,406
共和新路1978号大宁国际商业广场9座4楼(近大宁路),13362,7878,2958,望湘园(大宁店),186,87,1141,179
南京西路258号世茂商都7层、8层,12644,6019,4598,王鼎精致料理(世茂商都店),420,343,1290,316
淞沪路8号百联又一城6楼24号铺(近江湾体育场地铁站),12092,5433,4305,外婆家(又一城店),419,67,1608,327
太仓路70号(新天地好乐迪对面),11717,5067,4532,鹅庄(新天地店),131,56,1710,277
上南路168号世博源5区B层5B21号,11260,5947,3446,炉鱼(上海世博源店),293,92,1278,296
天钥桥路214号伊尚汇时尚购物中心2层,10922,6441,3309,周渝食惦酸菜鱼(天钥桥路店),186,92,836,150
汕头路60号(近西藏中路),10617,5786,3466,煲宫(人民广场店),169,117,1019,177
徐家汇路618号日月光中心广场徐家汇区4层,10361,7227,2494,王妃家(日月光中心广场店),105,135,464,71
淮海中路999号环贸iapm商场LG2层(近陝西南路),10033,3702,3831,金牌外婆家(环贸iapm商场店),344,90,1720,436
南京东路299号宏伊国际广场6层(河南中路口),9525,3897,2208,望湘园(宏伊店),127,86,799,126
张杨路601号华诚大厦二楼(浦东食品城二楼),9266,6958,1566,叶品盛酸菜鱼(八佰伴店),91,92,543,108
乌鲁木齐北路480号万泰国际5楼(上海宾馆对面),9095,5653,2631,万岛日本料理(静安店),174,375,517,120
中山北路3300号环球港花园大厅B2层,8855,5206,2573,小杨生煎(月星环球港店),86,22,825,165
金科路2889号长泰广场东区5座B1层,8719,6317,1662,桂满陇-桃花山庄·院落(长泰广场店),166,81,468,106
虹井路280弄2号1楼(虹桥晶座),8495,5703,2192,酒吞(虹井路一馆),90,431,397,71
浦东南路999号新梅联合广场4层404,8277,4520,2716,西贝莜面村(上海新梅广场店),136,90,755,150
徐家汇路618号日月光中心广场泰康区1层,8157,2704,3247,桃园眷村(日月光店),284,33,1558,364
天钥桥路209号(近南丹东路),7940,2519,2682,新海上阿叔,176,136,1232,286
都市路5001号仲盛世界商城4层(近莘庄地铁南广场),7773,4418,2216,PANKOO釜山料理(仲盛世界商城店),149,102,814,153
控江路1628号紫荆广场7层,7538,3545,2580,尚座龙门里(紫荆广场店),295,100,904,214
天钥桥路580号星游城4楼(近腾飞广场),7371,4025,2207,新辣道鱼火锅(徐家汇星游城店),134,103,827,178
长宁路1018号中山公园龙之梦购物中心7楼(凯旋路),7212,3776,2410,小辉哥火锅(中山公园龙之梦购物中心店),137,138,719,170
东诸安浜路141号(江苏路镇宁路间),7051,3330,1740,三人行骨头王火锅(东诸安浜路店),89,84,787,128
上南路7775号(周康路路口),6968,4534,1783,溪雨观酸菜鱼(上南路店),102,77,453,96
长寿路505弄6号(近胶州路),6879,2566,2311,三人行骨头王火锅(长寿店),102,86,1043,158
江桥万达广场3楼3028室(近华江路),6795,4787,1167,漫驼铃西域餐厅(江桥万达店),204,75,504,133
虹桥路1号港汇恒隆广场5楼507B/C(华山路口),6799,2755,2689,Pizza Marzano玛尚诺(港汇店),167,134,953,218
宣化路300号华宁弘基生活中心2层,6807,3274,2790,厨房乐章(华宁弘基生活中心店),72,79,590,81
肇嘉浜路1111号美罗城A区8层,6809,4688,1506,慕·法式铁板烧lamu(美罗城店),86,440,430,99
淮海中路999号环贸iapm商场L6室(近陕西南路),6813,3465,2443,大董(环贸iapm店),149,385,633,123
沪闵路7866弄莲花国际广场2楼(南方商城),6817,3505,2304,星港湾 新加坡老味道(南方商城店),152,99,716,140
浦东滨江大道滨江风光亭(近滨江大道),6821,2136,2696,宝莱纳餐厅(陆家嘴店),144,220,761,105
南京西路1601号芮欧百货5层(常德路),6822,3745,2277,阿吾罗日本料理(芮欧百货店),122,212,563,115
华山路2068号百联徐汇商务广场南5楼(近徐家汇地铁站),6818,4018,2099,海底捞火锅(华山路店),130,137,481,90
真光路1288号百联中环购物广场A区4层,6829,2285,2421,70后饭吧(百联真光路店),389,73,1376,357
中山北路3300号环球港中央广场4层,6841,2834,2469,simply thai天泰餐厅(环球港店),284,166,976,278
南京东路600号亚太广场6层,6848,3778,2159,炙城烤肉(南京东路店),93,87,686,132
南京西路1601号越洋广场5楼,6854,2985,2340,大董(越洋广场店),386,418,896,247
逸仙路580号四层(近仁德路),6871,3926,1805,海底捞火锅(逸仙路店),64,126,387,52
徐家汇路618号日月光中心广场泰康区5层,6873,3271,2275,暗恋桃花源(日月光店),255,97,888,184
锦尊路459号(成山路巴黎春天旁),6890,4423,1598,掌柜的店纯朴中原菜(成山店),134,76,595,139
中山北路3300号环球港太阳大厅B1层B1037,6893,3032,2271,避风塘(环球港店),409,80,910,271
曹杨路555号汇融天地3F,6891,5118,1344,青花椒砂锅鱼(汇融天地店),44,92,349,36
邯郸路600号万达商业广场特力时尚汇4层,6896,4596,1501,57度湘(特力时尚汇店),179,107,498,122
肇嘉浜路1111号美罗城2层,6904,3743,1924,一笼小确幸(美罗城店),172,82,883,182
遵义路150号(虹桥南丰城北区6楼),6912,3827,2338,香港百合居,125,170,535,87
漕宝路3509号汇宝购物广场A座5层,6928,2924,1711,和记小菜(七宝店),282,107,921,235
龙茗路1939号(漕宝路),6933,5919,791,捞王锅物料理(龙茗路店),46,129,140,37
虹莘路3998号帝宝大厦2楼(吴中路与虹莘路之间),6933,3693,2433,青鹤谷(虹莘路总店),126,143,557,98
城桥镇八一路步行街338号2楼,257,163,59,新招鲜(南门店),8,73,16,11
陆家嘴西路168号正大广场8层,6956,5648,802,鱼非鱼(正大广场店),149,116,277,80
金沙江路1699号圣诺亚皇冠假日酒店2楼(近真北路),6978,3726,2180,芥末日本料理(圣诺亚店),181,269,726,165
田林路120号2楼,6980,4428,1215,诚成巫山烤全鱼(田林路店),267,78,665,205
上南路168号世博源3区L2层L201,6984,3815,2247,小辉哥火锅(世博源店),160,150,622,140
南京东路720号第一食品商店四楼I区,6992,3079,2302,黄记煌三汁焖锅(南京东路店),230,98,1139,242
中山北路3300号月星环球港3楼3013室(金沙江路),6997,3171,2256,荣小馆,227,100,1094,249
西藏中路525号雅居乐国际广场4层(地铁1/8/2号线人民广场站旁),7000,3889,2293,竹若金枪鱼(雅居乐国际广场店),107,269,593,119
愚园路650号(近镇宁路),7011,1097,2527,富春小笼(愚园路店),200,30,1224,220
长寿路868号中港汇3楼(武宁路站地铁1号口出),7020,3395,2481,老船吧音乐烧烤串吧(长寿路店),249,101,743,152
虹漕南路7号(近漕宝路),7021,4794,1644,今日牛事潮汕鲜牛肉火锅(徐汇总店),152,119,349,82
真光路1288号百联中环购物广场B区4层L401,7027,3195,2136,和记小菜(百联中环店),320,111,1105,271
康平路220号(天平路华山路之间),7030,2006,3126,小小花园,56,94,949,92
淮海中路999号环贸iapm商场L5-502(近陕西南路),7033,4097,2228,珍宝海鲜(环贸iapm商场店),115,387,491,102
天钥桥路323号(南丹东路),7047,4728,1650,红盔甲(天钥桥路店),97,188,493,79
一二八纪念路988弄万达广场3层(近共和新路),7054,3295,2175,避风塘(宝山万达店),388,91,975,221
零陵路899号飞洲国际广场5楼,7074,3984,2211,伊秀寿司(飞洲国际广场店),100,107,655,124
淮海中路300号上海K11购物艺术中心4层,7095,3753,2488,阿吾罗日本料理(上海K11艺术中心店),114,205,616,124
云山路1230号(近金杨路),7101,4263,2110,溪雨观酸菜鱼(云山路店),99,83,533,96
区福州路555号,7107,3496,2552,和府捞面(福州路店),85,42,843,131
马当路388号复兴SOHO3QB座1层01,7111,2336,2758,LINE FRIENDS CAFE & STORE(复兴SOHO店),189,76,1559,269
一二八纪念路988弄万达广场1层(近高迎路),7139,3252,2294,大咀港式茶餐厅(万达广场宝山店),304,81,1042,247
遵义路100号虹桥南丰城南区5层L508号,7142,5150,1541,漢舍中国菜馆(虹桥南丰店),78,173,316,57
虹泉路1101弄2楼新东苑酒店正门旁(虹泉路沿街，彩虹楼梯走上2楼即可),7147,4478,2011,韩国欧巴炭烤肉오빠숯불구이(总店),55,102,523,80
徐家汇路618号日月光中心广场瑞金区4层,7154,4149,1938,集装箱BBQ(日月光店),183,101,733,151
徐家汇路618号日月光中心广场徐家汇区2层,7175,3806,2310,又见鱼(日月光中心广场店),148,101,767,144
东方路985号一百杉杉大厦6楼(近浦电路),7190,2268,2035,和记小菜(东方店),190,98,996,206
西江湾路388号龙之梦购物中心A座B1层,7198,3867,2351,小辉哥火锅(龙之梦购物中心虹口店),108,139,730,142
愚园路68号晶品4层,7194,3855,2452,Maki House寿司(晶品店),232,125,537,118
北京西路1068号三层(近江宁路),7224,3854,2638,海底捞火锅(北京西路店),93,128,566,73
广西北路245号1楼2楼(近汉口路),7225,2280,3312,平成屋日式料理店(广西北路店),238,101,1190,203
徐家汇路618号日月光中心广场徐家汇区1层,7253,4633,1792,匆匆那年创意餐厅(日月光中心广场店),148,93,567,113
东方路796号96广场2楼211号(近张杨路),7267,2853,3010,烧肉达人(96广场店),94,130,831,117
吴江路202号2楼(近泰兴路),7272,2745,2635,锅品面吧(吴江路店),177,32,1455,260
国定路333号三号湾广场2层(85°C楼上),7280,3882,2110,洞子张老匠火锅(三号湾广场店),154,118,889,245
南京西路1515号静安嘉里中心南区B1层,7287,3191,2916,PINTXOS(静安嘉里中心店),139,144,888,153
西江湾路388号龙之梦购物中心B2层,7291,4395,2079,西树泡芙(虹口龙之梦店),74,20,619,124
世纪大道8号国金中心商场3层(童装区直底),7306,3902,2410,乐忻皇朝(国金中心商场店),102,125,746,146
淞沪路8号百联又一城7层G09-7F-1-001(江湾体育场地铁站),7313,4677,1782,麻小麻辣诱惑(百联又一城店),124,119,595,135
南京东路恒基名人购物中心4楼,7342,4145,2354,义面屋(恒基名人店),50,79,714,79
一二八纪念路988弄万达广场3层(近共康路地铁站),7344,4431,2208,豆捞坊(万达广场宝山店),75,119,549,81
七莘路3655号凯德七宝购物广场2层,7365,5479,1459,青花椒砂锅鱼(凯德七宝购物广场店),74,93,289,64
中山北路3300号环球港中央广场4层4051-4052号,7391,5231,1124,Mr Nice好好先生餐厅(月星环球港店),264,123,582,190
肇嘉浜路1000号汇金百货5楼(近天平路肇嘉浜路),7396,4252,2300,香草山西餐厅(徐汇汇金店),106,173,614,124
共和新路1988号大宁国际商业广场11栋5层(近延长路地铁站),7407,3932,2492,小辉哥火锅(大宁国际商业广场店),134,137,708,141
长宁路1018号龙之梦购物中心蓝中庭6层6079-6081A,7412,5827,1342,王妃家(中山公园龙之梦店),23,132,192,28
复兴中路59号(吉安路东台路间),7415,1846,2945,大肠面,191,27,1369,228
西藏中路180号高盛商厦5楼(近福州路),7433,4339,2267,九久日本料理(人民广场店),142,335,553,132
万航渡路107号(北京西路口),7438,4276,2100,牛很鲜潮汕牛肉火锅,210,121,688,164
真华路950号1楼(近大华二路),7443,5327,1488,四川香天下火锅(大华店),148,125,387,93
陆家嘴西路168号正大广场7层,7444,3789,2422,旺池(正大广场店),165,89,896,172
大渡河路178号长风大悦城3层,7453,3989,2371,星怡会(长风大悦城店),175,105,753,165
一二八纪念路988弄万达广场4层(近共和新路),7466,4051,1730,汉拿山(万达广场宝山店),360,137,990,335
