address,comments_num,five,four,name,one,price,three,two
中北路109号凯德1818广场4楼13-14A号,7126,3801,2382,楼兰新疆主题餐厅(凯德广场.1818店),139,73,669,135
中南路天紫广场B座3F(中南路地铁站B、C1出口),5774,4503,1014,小糖人欢乐火锅(中南店),28,90,198,31
和平大道819号奥山世纪城3层(近CGV影城),4887,3191,1200,秀玉红茶坊(奥山世纪城店),74,59,354,68
雪松路65号地铁2号线王家墩东站C1、C2出口,4501,2464,1274,巴厘龙虾(万松园二店),115,127,441,108
中山大道818号新佳丽购物广场6层,4136,2139,1170,南海底平价小海鲜(新佳丽时尚广场店),141,58,513,137
新华下路245号(北湖区委旁),3920,2427,784,三五醇欧洲花园酒店(三楼店),58,62,258,46
光谷步行街意大利风情街5号楼五楼,3634,2173,955,大溪烤鱼(光谷店),88,64,338,80
汉阳大道128号新世界百货5楼(铜锣湾广场),3417,1726,918,牛太郎自助烧烤(新世界百货店),118,57,502,153
珞珈山路19号中商平价购物广场5楼(武汉大学正门对面),3214,1762,1018,江南小观园,64,70,310,60
东亭一路19号(格林豪泰酒店旁在水一方停车场内),3057,2121,659,粗茶淡饭·隐庐私厨,56,110,178,43
建设大道566号新世界百货国贸店5楼,2721,1643,797,金桂皇朝,52,116,180,49
文治街与丁字桥南路交叉路口东南角佰港城4层,2651,1732,612,百艳青花无国界餐厅(佰港城店),49,74,205,53
中山大道1515号壹方购物中心3层,2542,1925,336,撒椒(壹方购物中心店),53,95,181,47
"和平大道819号奥山世纪城4层(近青扬六和,理工大学余家头校区)",2402,1291,707,黄记煌三汁焖锅(奥山世纪城店),54,81,279,71
珞瑜路726号光谷步行街2期西班牙风情街3楼(近鲁巷转盘),2288,1359,613,秀玉红茶坊(光谷二期店),73,60,195,48
和平大道959号武商众圆广场5层,2232,1955,180,炭庐炭火干锅(武商众圆广场店),32,68,54,11
解放大道540号航空路工贸家电五楼(武汉广场对面),2151,1115,584,金釜川自助烤肉(武广店),64,44,284,104
中北路汉街万达广场4层016号,2094,1591,358,花隐日式怀石料理(武汉汉街万达店),27,350,89,29
珞南街道珞瑜路33号珞珈创意体验城店八楼8F066(街道口地铁口旁),1994,945,565,黄记煌三汁焖锅(银泰店),118,81,283,83
唐家墩路5-1号万达广场3层,1927,1751,57,风物寿司(万达广场店),53,82,43,23
三阳路11号,1803,1105,505,川西坝子火锅(三阳路1店),26,104,130,37
万达广场室内步行街3层,1767,929,438,汉拿山烤肉(经开万达店),99,83,216,85
江城大道388号永旺梦乐城A馆2层,1700,890,476,丽小馆·家料理(永旺梦乐城店),73,67,212,49
解放大道二七路口东部购物公园C1区3层,1637,965,308,凯威啤酒屋(东部购物公园店),68,63,215,81
江汉路步行街126号新长盛广场4层,1552,856,442,满堂红串串香(江汉路步行街店),25,71,186,43
解放大道387号4层(轻轨1号线宗关站),1523,830,396,黄记煌三汁焖锅(南国西汇城市广场店),53,69,196,48
和平大道819号奥山世纪城B1层(沃尔玛门口),1480,1021,289,贵哥卤肉卷(奥山世纪城店),16,9,128,26
珞瑜路35号银泰创意城B1层,1454,921,376,杯子和糖(银泰创意城店),15,24,122,20
解放大道690号武汉国际广场B1楼(武商超级生活馆9号收银台正对面),1431,738,381,麦谷粒(武汉国际广场店),36,22,223,53
民生路176号悦荟广场1层(江汉路万达广场),1433,893,288,皇冠蛋糕(悦荟广场店),20,24,110,12
航空路宝丰街路口(航空路新世界星巴克旁，距轻轨利济北路站约342米),1434,737,439,阿星豆捞火锅(宝丰街店),35,66,168,39
张之洞路151号南国·首义汇2层(紫阳湖公园对面),1434,763,394,拾味馆(南国·首义汇店),35,60,192,50
光谷步行街三期意大利风情街5号楼4层,1439,760,421,江南金草帽烤肉料理自助餐厅(光谷意大利风情街店),59,57,153,46
武昌友谊大道才茂街路口(近杨园派出所),1441,715,389,毛毛烤虾王(杨园店),46,98,186,51
和平街道汇誉农贸市场内部商铺,1441,1104,267,紫燕百味鸡(建一店),4,17,64,2
雪松路美食街（近靓靓蒸虾总店）卫生服务中心对面巷子往前走15米(近巴厘龙虾2店，地铁二号线王家墩东C2出口前行150米),1442,839,318,铁桶海味-海鲜烤肉(万松园店),52,120,189,44
